,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
88.3,220.06,229.5,223.18,229.97,231.66,222.35,227.01,221.1,218.46,221.52,212.98,214.34,221.6,223.82,221.19,214.96,215.04,183.44
89.3,219.29,228.53,222.26,229.2,230.61,221.8,226.69,220.77,218.06,220.99,212.65,213.97,221.49,223.84,220.97,214.79,214.74,182.96
90.3,218.57,227.56,221.39,228.39,229.53,221.27,226.41,220.51,217.63,220.41,212.34,213.55,221.35,223.79,220.74,214.56,214.45,182.57
91.3,217.88,226.59,220.58,227.54,228.43,220.75,226.13,220.31,217.17,219.77,212.04,213.14,221.22,223.67,220.49,214.27,214.15,182.29
92.3,217.21,225.6,219.81,226.62,227.34,220.22,225.82,220.14,216.67,219.07,211.77,212.73,221.08,223.52,220.21,213.92,213.84,182.11
93.3,216.54,224.57,219.04,225.63,226.24,219.67,225.5,219.95,216.12,218.3,211.49,212.33,220.92,223.34,219.88,213.5,213.51,182.03
94.3,215.88,223.51,218.22,224.54,225.16,219.07,225.15,219.71,215.53,217.44,211.16,211.89,220.71,223.12,219.5,213,213.15,182.03
95.3,215.24,222.42,217.34,223.35,224.12,218.43,224.75,219.42,214.87,216.51,210.75,211.38,220.41,222.83,219.08,212.4,212.78,182.09
96.3,214.59,221.32,216.41,222.08,223.12,217.74,224.29,219.11,214.16,215.53,210.29,210.8,219.99,222.44,218.62,211.73,212.41,182.17
97.3,213.91,220.22,215.44,220.74,222.13,217,223.76,218.78,213.36,214.51,209.77,210.14,219.45,221.96,218.13,211.02,212.04,182.26
98.3,213.19,219.16,214.41,219.35,221.13,216.22,223.19,218.44,212.49,213.46,209.2,209.42,218.85,221.42,217.63,210.28,211.69,182.34
99.2,212.45,218.12,213.33,217.95,220.07,215.38,222.59,218.06,211.62,212.41,208.59,208.71,218.23,220.83,217.13,209.52,211.35,
100.2,211.69,217.11,212.24,216.59,218.97,214.51,221.99,217.61,210.76,211.37,207.96,207.98,217.62,220.2,216.63,208.78,211.03,
101.2,210.9,216.12,211.15,215.31,217.85,213.63,221.4,217.1,209.92,210.35,207.3,207.25,217,219.57,216.13,208.12,210.72,
102.2,210.11,215.16,210.09,214.14,216.74,212.76,220.83,216.57,209.11,209.39,206.6,206.5,216.36,218.97,215.65,207.58,210.43,
103.2,209.35,214.28,209.08,213.09,215.63,211.9,220.33,216.04,208.37,208.51,205.88,205.74,215.7,218.39,215.23,207.12,210.19,
104.2,208.65,213.55,208.21,212.21,214.52,211.1,219.9,215.57,207.72,207.76,205.18,204.99,215.04,217.83,214.92,206.78,210.03,
105.2,208,212.98,207.54,211.52,213.46,210.43,219.55,215.21,207.16,207.16,204.6,204.3,214.46,217.33,214.73,206.57,209.95,
106.2,207.42,212.57,207.04,211.01,212.47,209.9,219.34,214.95,206.7,206.71,204.15,203.74,214.06,216.94,214.63,206.52,209.94,
107.2,206.96,212.32,206.66,210.66,211.56,209.5,219.28,214.76,206.32,206.39,203.81,203.34,213.85,216.72,214.61,206.62,209.97,
108.2,206.64,212.17,206.39,210.42,210.78,209.21,219.35,214.63,206.05,206.19,203.57,203.09,213.82,216.63,214.62,206.8,210,
109.2,206.46,212.1,206.24,210.27,210.18,209.04,219.52,214.58,205.85,206.07,203.43,202.98,213.9,216.64,214.68,207.07,210.02,
110.2,206.39,212.08,206.23,210.23,209.82,208.94,219.75,214.62,205.69,206.02,203.37,203.03,214.05,216.72,214.75,207.39,210.03,
111.2,206.43,212.1,206.32,210.27,209.68,208.91,220,214.74,205.54,206.03,203.39,203.24,214.26,216.85,214.84,207.74,210.02,
112.1,206.53,212.14,206.49,210.37,209.73,208.93,220.27,214.93,205.42,206.08,203.48,203.57,214.53,217.02,214.95,208.07,210,
113.1,206.69,212.19,206.69,210.51,209.88,208.99,220.56,215.16,205.31,206.14,203.65,203.96,214.87,217.21,215.06,208.36,209.97,
114.1,206.89,212.24,206.89,210.64,210.1,209.1,220.84,215.38,205.2,206.19,203.89,204.4,215.26,217.39,215.16,208.6,209.9,
